gpu_model,provider_type,$/GPU-hr,TOTAL,price_lo,price_md,price_hi,term_hours,gpu_count,used_region,n_quotes,source
H100,All,$1.99–$2.99,$68774–$103421,1.99,2.25,2.99,4320,8,US,11,latest
H100,Neocloud,$1.99–$3.08,$68774–$106272,1.99,2.12,3.08,4320,8,US,6,latest
H100,Broker,$1.25–$2.30,$43200–$79488,1.25,2.25,2.3,4320,8,US,3,latest
H100,Hyperscaler,$2.99–$2.99,$103334–$103421,2.99,2.99,2.99,4320,8,US,2,latest
H200,All,$1.39–$3.57,$47969–$123517,1.39,2.3,3.57,4320,8,US,5,latest
H200,Neocloud,$1.28–$4.29,$44237–$148262,1.28,1.92,4.29,4320,8,US,4,latest
H200,Broker,$2.50,$86400,2.5,2.5,2.5,4320,8,US,1,latest
H100+H200,All,$1.42–$3.45,$48902–$119102,1.42,2.25,3.45,4320,8,US,16,latest
